,#,Player,NO,YDS,AVG,TD,Long,Bio Link
0,15.0,"Donnelly, Tommy 15 Donnelly, Tommy",19,122,6.42,0,17,View Bio
1,0.0,"Perryman, Bryson 0 Perryman, Bryson",4,15,3.75,0,7,View Bio
2,3.0,"McClaine, Marcus 3 McClaine, Marcus",1,13,13.0,0,0,View Bio
3,48.0,"Papa, Joseph 48 Papa, Joseph",1,7,7.0,0,7,View Bio
4,,Total,25,157,6.28,0,17,
5,,Opponents,6,-6,-1.0,0,3,
