,name,jersey,class,position,height,weight,hometown,hs,img,stats_page
0,Shawn Goode,30,Fr.,LB,6.0,207.0,"MIDDLETOWN, NJ",Middletown South,https://muhlenbergsports.com//images/2024/8/25/FBgoode24_mswBj.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/shawn-goode/8316
0,Dylan Cotter,31,Fr.,LB,6.0,195.0,"NEWTON, NJ",Newton,https://muhlenbergsports.com//images/2024/8/25/FBcotter24_jWXFQ.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/dylan-cotter/8309
0,Matthew Manning,32,Jr.,RB,5.11,195.0,"PARK RIDGE, NJ",Park Ridge,https://muhlenbergsports.com//images/2024/8/25/FBmanning24_kQyE8.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/matthew-manning/8151
0,Owen Kovacs,33,Sr.,S,5.11,190.0,"NEW PROVIDENCE, NJ",New Providence,https://muhlenbergsports.com//images/2024/8/25/FBkovacs24_h2W0H.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/owen-kovacs/8147
0,Ethan Kalinauskas,34,Fr.,LB,6.0,195.0,"JACKSON, NJ",Jackson Memorial,https://muhlenbergsports.com//images/2024/8/25/FBkalinauskas24_OOiWG.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/ethan-kalinauskas/8323
0,Tommy Andrews,35,So.,DB,5.11,170.0,"ABINGTON, PA",Springside Chestnut Hill Academy,https://muhlenbergsports.com//images/2024/8/25/FBandrews24_F5cxT.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/tommy-andrews/8109
0,Lucas Santangelo,35,Fr.,RB,5.1,215.0,"SMITHTOWN, NY",Smithtown East,https://muhlenbergsports.com//images/2024/8/25/FBsantangelo24_ta1WV.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/lucas-santangelo/8337
0,Danny Cullen,36,So.,DB,5.1,185.0,"LIVINGSTON, NJ",Livingston,https://muhlenbergsports.com//images/2024/8/25/FBcullen24_RCeLC.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/danny-cullen/8118
0,John Aboussleman,37,Fr.,LB,5.11,195.0,"UPPER SADDLE RIVER, NJ",Northern Highlands Regional,https://muhlenbergsports.com//images/2024/8/25/FBaboussleman24_Q6tw0.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/john-aboussleman/8299
0,Tyler Jones,38,Fr.,DB,5.11,155.0,"BALTIMORE, MD",Parkville,https://muhlenbergsports.com//images/2024/8/25/FBjones24_4rW1d.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/tyler-jones/8322
0,Dominick Genario,39,So.,LB,6.2,190.0,"WOOD-RIDGE, NJ",Bergen Tech,https://muhlenbergsports.com//images/2024/8/25/FBgenario24_XEgzO.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/dominick-genario/8136
0,Justin Bernal,40,So.,LB,5.9,205.0,"MONTCLAIR, NJ",Montclair,https://muhlenbergsports.com//images/2024/8/25/FBbernal24_mXLxK.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/justin-bernal/8113
0,Kole Dominick,40,So.,LB,5.1,185.0,"POUGHKEEPSIE, NY",Spackenkill,https://muhlenbergsports.com//images/2024/8/25/FBdominick24_ZCOV8.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/kole-dominick/8124
0,Isaiah Garrett,40,Fr.,LB,5.9,195.0,"BALTIMORE, MD",McDonogh School,https://muhlenbergsports.com//images/2024/8/25/FBgarrett24_pgjzD.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/isaiah-garrett/8313
0,Christopher Mignosi,41,So.,DL,5.1,205.0,"STROUDSBURG, PA",Stroudsburg,https://muhlenbergsports.com//images/2024/8/25/FBmignosi24_TOJeN.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/christopher-mignosi/8155
0,Derek Graichen,42,Sr.,LB,6.0,200.0,"KENILWORTH, NJ",David Brearley,https://muhlenbergsports.com//images/2024/8/25/FBgraichen24_pyCK3.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/derek-graichen/8137
0,Brian Walsh,43,Fr.,LB,6.1,205.0,"PARK CITY, UTAH",Park City,https://muhlenbergsports.com//images/2024/8/25/FBwalsh24_CIlYY.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/brian-walsh/8345
0,Gavin Cerco,44,Fr.,DB,6.0,150.0,"ALLENTOWN, PA",Salisbury,https://muhlenbergsports.com//images/2024/8/25/FBcerco24_IZ6gg.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/gavin-cerco/8305
0,Michael Dotro,44,Sr.,LB,6.0,220.0,"KENILWORTH, NJ",Academy for Information Technology,https://muhlenbergsports.com//images/2024/8/25/FBdotro24_4ubB4.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/michael-dotro/8126
0,Hunter Ginsberg,45,Fr.,LB,6.1,195.0,"LEVITTOWN, PA",Conwell Egan Catholic,https://muhlenbergsports.com//images/2024/8/25/FBginsberg24_xtMnp.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/hunter-ginsberg/8314
0,Justin Eisele,46,Jr.,LB,6.0,210.0,"JEFFERSON TWP, NJ",Jefferson Twp.,https://muhlenbergsports.com//images/2024/8/25/FBeiseleju24_Y7cet.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/justin-eisele/8129
0,Sean Krug,47,Jr.,LS,6.2,215.0,"LONG HILL, NJ",Watchung Hills Regional,https://muhlenbergsports.com//images/2024/8/25/FBkrug24_xYd9J.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/sean-krug/8148
